First Robot | Second Robot | Step
    (67,18)        (39 16)         212
    (68,18)        (39 15)         213
    (69,18)        (39 14)         214
    (70,18)        (40 14)         215
    (71,18)        (41 14)         216
    (72,18)        (42 14)         217
    (73,18)        (43 14)         218
    (74,18)        (44 14)         219
    (75,18)        (45 14)         220
    (76,18)        (46 14)         221
    (76,19)        (46 15)         222
    (77,19)        (47 15)         223
    (77,20)        (48 15)         224
    (77,21)        (49 15)         225
    (76,21)        (50 15)         226
    (77,21)        (51 15)         227
    (78,21)        (52 15)         228
    (79,21)        (53 15)         229
    (80,21)        (53 16)         230
    (80,20)        (54 16)         231
    (81,20)        (55 16)         232
    (82,20)        (55 15)         233
    (83,20)        (56 15)         234
    (84,20)        (55 15)         235
    (85,20)        (55 16)         236
    (86,20)        (54 16)         237
    (86,19)        (53 16)         238
    (87,19)        (52 16)         239
    (88,19)        (52 17)         240
    (88,18)        (52 18)         241
    (89,18)        (51 18)         242
    (90,18)        (51 19)         243
    (91,18)        (51 20)         244
    (92,18)        (50 20)         245
    (93,18)        (50 21)         246
    (94,18)        (50 22)         247
    (95,18)        (50 23)         248
    (95,19)        (50 24)         249
    (96,19)        (51 24)         250
    (96,20)        (51 25)         251
    (96,21)        (51 26)         252
    (97,21)        (50 26)         253
    (97,22)        (50 27)         254
    (97,23)        (50 26)         255
    (96,23)        (51 26)         256
    (95,23)        (52 26)         257
    (95,24)        (53 26)         258
    (95,25)        (54 26)         259
    (95,26)        (55 26)         260
    (95,27)        (55 25)         261
    (95,28)        (55 24)         262
    (95,29)        (56 24)         263
    (94,29)        (56 23)         264
    (94,30)        (56 22)         265
    (94,31)        (55 22)         266
    (94,32)        (55 21)         267
    (94,33)        (55 20)         268
    (94,34)        (56 20)         269
    (94,35)        (56 19)         270
    (94,36)        (57 19)         271
    (94,37)        (57 18)         272
    (94,38)        (58 18)         273
    (94,39)        (58 17)         274
    (94,40)        (59 17)         275
    (94,41)        (60 17)         276
    (94,42)        (61 17)         277
    (94,43)        (61 18)         278
    (94,44)        (62 18)         279
    (94,45)        (63 18)         280
    (94,46)        (64 18)         281
    (94,47)        (64 17)         282
    (94,48)        (65 17)         283
    (94,49)        (66 17)         284
    (94,50)        (66 18)         285
    (94,51)        (67 18)         286
    (94,52)        (68 18)         287
    (94,53)        (69 18)         288
    (95,53)        (70 18)         289
    (95,54)        (71 18)         290
    (95,55)        (72 18)         291
    (95,56)        (73 18)         292
    (94,56)        (74 18)         293
    (94,57)        (75 18)         294
    (94,58)        (76 18)         295
    (94,59)        (77 18)         296
    (95,59)        (78 18)         297
    (96,59)        (79 18)         298
    (96,60)        (80 18)         299
    (96,61)        (80 19)         300
    (95,61)        (80 20)         301
    (95,62)        (81 20)         302
    (95,63)        (82 20)         303
    (94,63)        (83 20)         304
    (93,63)        (84 20)         305
    (93,64)        (85 20)         306
    (93,65)        (86 20)         307
    (94,65)        (86 19)         308
    (94,66)        (87 19)         309
    (94,67)        (88 19)         310
    (93,67)        (88 18)         311
    (93,68)        (89 18)         312
    (93,69)        (90 18)         313
    (92,69)        (91 18)         314
    (92,70)        (92 18)         315
    (92,71)        (93 18)         316
    (92,72)        (94 18)         317
    (93,72)        (95 18)         318
    (94,72)        (95 19)         319
    (94,73)        (96 19)         320
    (93,73)        (96 20)         321
    (93,74)        (96 21)         322
    (93,75)        (97 21)         323
    (92,75)        (97 22)         324
    (91,75)        (97 23)         325
    (91,76)        (96 23)         326
    (90,76)        (95 23)         327
    (89,76)        (95 24)         328
    (89,75)        (95 25)         329
    (88,75)        (95 26)         330
    (87,75)        (95 27)         331
    (86,75)        (95 28)         332
    (86,76)        (95 29)         333
    (85,76)        (94 29)         334
    (84,76)        (94 30)         335
    (83,76)        (94 31)         336
    (82,76)        (94 32)         337
    (81,76)        (94 33)         338
    (80,76)        (94 34)         339
    (80,77)        (94 35)         340
    (80,78)        (94 36)         341
    (80,79)        (94 37)         342
    (79,79)        (94 38)         343
    (78,79)        (94 39)         344
    (77,79)        (94 40)         345
    (76,79)        (94 41)         346
    (76,80)        (94 42)         347
    (75,80)        (94 43)         348
    (74,80)        (94 44)         349
    (73,80)        (94 45)         350
